Station,gantry,Latitude,Longitude,Lane Count,Billing Month,Electricity Consumption (kWh),Billing Period (Start),Billing Period (End)
楊梅,龍潭作業室,,,,11,2489,2024-10-02,2024-11-03
楊梅,龍潭作業室,,,,12,1805,2024-11-04,2024-12-02
楊梅,龍潭作業室,,,,1,1786,2024-12-03,2024-12-29
泰山,01H-030.5S,25.075553,121.460661,4,6,2368,2024-03-27,2024-05-27
泰山,01H-030.5S,25.075553,121.460661,4,8,2470,2024-05-28,2024-07-29
泰山,01H-030.5S,25.075553,121.460661,4,10,2334,2024-07-30,2024-09-26
泰山,01H-030.5S,25.075553,121.460661,4,12,2372,2024-09-27,2024-11-27
泰山,01F-029.3SN,25.07479722,121.4729611,4,7,4088,2024-04-25,2024-06-24
泰山,01F-029.3SN,25.07479722,121.4729611,4,9,4339,2024-06-25,2024-08-26
泰山,01F-029.3SN,25.07479722,121.4729611,4,11,3986,2024-08-27,2024-10-27
泰山,01F-029.3SN,25.07479722,121.4729611,4,1,3881,2024-10-28,2024-12-24
泰山,01F-026.4S,25.07746389,121.5013861,4,6,2399,2024-04-01,2024-05-29
泰山,01F-026.4S,25.07746389,121.5013861,4,8,2856,2024-05-30,2024-08-04
泰山,01F-026.4S,25.07746389,121.5013861,4,10,2468,2024-08-05,2024-10-02
泰山,01F-026.4S,25.07746389,121.5013861,4,12,2542,2024-10-03,2024-12-03
泰山,01H-027.1N,25.075256,121.494019,3,6,2206,2024-04-08,2024-06-05
泰山,01H-027.1N,25.075256,121.494019,3,8,2498,2024-06-06,2024-08-07
泰山,01H-027.1N,25.075256,121.494019,3,10,2372,2024-08-08,2024-10-07
泰山,01H-027.1N,25.075256,121.494019,3,12,2272,2024-10-08,2024-12-08
泰山,01F-034.0N,25.068,121.428056,6,5,2753,2024-03-11,2024-05-12
泰山,01F-034.0N,25.068,121.428056,6,7,2592,2024-05-13,2024-07-09
泰山,01F-034.0N,25.068,121.428056,6,9,2869,2024-07-10,2024-09-10
泰山,01F-034.0N,25.068,121.428056,6,11,2792,2024-09-11,2024-11-11
泰山,泰山收費站,,,,5,892,2024-04-12,2024-05-14
泰山,泰山收費站,,,,6,770,2024-05-15,2024-06-12
泰山,泰山收費站,,,,7,970,2024-06-13,2024-07-11
泰山,泰山收費站,,,,8,1182,2024-07-12,2024-08-13
泰山,泰山收費站,,,,9,1076,2024-08-14,2024-09-12
泰山,泰山收費站,,,,10,947,2024-09-13,2024-10-14
泰山,泰山收費站,,,,11,784,2024-10-15,2024-11-13
泰山,泰山收費站,,,,12,761,2024-11-14,2024-12-12
泰山,01F-037.6SN,25.058667,121.397306,5,5,4130,2024-03-14,2024-05-15
泰山,01F-037.6SN,25.058667,121.397306,5,7,3953,2024-05-16,2024-07-14
泰山,01F-037.6SN,25.058667,121.397306,5,9,4570,2024-07-15,2024-09-15
泰山,01F-037.6SN,25.058667,121.397306,5,11,4095,2024-09-16,2024-11-14
泰山,01H-033.3N,25.068147,121.435133,2,5,2194,2024-03-18,2024-05-19
泰山,01H-033.3N,25.068147,121.435133,2,7,2103,2024-05-20,2024-07-16
泰山,01H-033.3N,25.068147,121.435133,2,9,2344,2024-07-17,2024-09-18
泰山,01H-033.3N,25.068147,121.435133,2,11,2145,2024-09-19,2024-11-18
泰山,01H-033.4S,25.068728,121.433281,2,6,2088,2024-03-25,2024-05-23
泰山,01H-033.4S,25.068728,121.433281,2,8,2319,2024-05-24,2024-07-25
泰山,01H-033.4S,25.068728,121.433281,2,10,2214,2024-07-26,2024-09-24
泰山,01H-033.4S,25.068728,121.433281,2,12,2189,2024-09-25,2024-11-25
泰山,01F-033.9SN,25.068239,121.428764,5,6,2825,2024-03-25,2024-05-23
泰山,01F-033.9SN,25.068239,121.428764,5,8,2924,2024-05-24,2024-07-25
泰山,01F-033.9SN,25.068239,121.428764,5,10,2818,2024-07-26,2024-09-24
泰山,01F-033.9SN,25.068239,121.428764,5,12,2769,2024-09-25,2024-11-25
泰山,01F-041.3SN,25.064969,121.363561,5,5,4035,2024-03-19,2024-05-20
泰山,01F-041.3SN,25.064969,121.363561,5,7,3871,2024-05-21,2024-07-17
泰山,01F-041.3SN,25.064969,121.363561,5,9,4299,2024-07-18,2024-09-19
泰山,01F-041.3SN,25.064969,121.363561,5,11,3959,2024-09-20,2024-11-19
樹林,03F-052.5SN,24.936025,121.3419,4,6,4051,2024-03-27,2024-05-27
樹林,03F-052.5SN,24.936025,121.3419,4,8,4155,2024-05-28,2024-07-29
